rank,name,dob,age_at_oct1_2026,team,league,position,fc_pot,fc_ovr,speed,sources
37,Axel Tape-Kobrissa,2007-08-10,19,Bayer 04 Leverkusen,Bundesliga,CB,82.0,65.0,68.0,fc26_filter
38,Marius Courcoul,2007-01-01,19,Angers SCO,Ligue 1,"CDM, CM, CB",82.0,65.0,55.0,fc26_filter
39,Sandro Miguel Rodrigues Vidigal,2007-07-28,19,Sporting Clube de Braga,Primeira Liga,"LW, RW, CAM, LM",82.0,65.0,77.0,fc26_filter
40,Abubacarr Sedi Kinteh,2006-11-30,19,Tromsø IL,Eliteserien,CB,82.0,65.0,71.0,fc26_filter
41,Juan Cruz Meza,2008-03-14,18,River Plate,Liga Profesional de Fútbol,CM,82.0,64.0,67.0,fc26_filter
42,Tomás Parmo,2008-01-08,18,Independiente,Liga Profesional de Fútbol,"CAM, CM",82.0,64.0,77.0,fc26_filter
43,Robinio Vaz,2007-02-17,19,Olympique de Marseille,Ligue 1,ST,82.0,64.0,79.0,fc26_filter|nxgn_2026
44,Lazar Jovanović,2006-11-30,19,VfB Stuttgart,Bundesliga,"RM, LM, RW",82.0,64.0,75.0,fc26_filter
45,Alex Marchal García,2007-11-30,18,Reading FC,League One,"LB, RW, LW, RM",82.0,63.0,85.0,fc26_filter
46,Kerim-Sam Alajbegović,2007-09-21,19,FC Red Bull Salzburg,Bundesliga,"LM, CAM, LW",82.0,63.0,70.0,fc26_filter|nxgn_2026
47,James Wilson,2007-03-06,19,Hearts,Premiership,ST,82.0,63.0,72.0,fc26_filter
48,Lucas Jetten,2007-06-07,19,Ajax,Eredivisie,"LB, LM",82.0,62.0,84.0,fc26_filter
49,Otto Emerson Stange,2007-02-09,19,SV Elversberg,2. Bundesliga,"ST, LM",82.0,62.0,63.0,fc26_filter
50,Kacper Potulski,2007-10-19,18,1. FSV Mainz 05,Bundesliga,CB,82.0,62.0,60.0,fc26_filter
51,Matteo Palma,2008-03-13,18,Udinese,Serie A,CB,82.0,62.0,52.0,fc26_filter
52,Leon Jakirović,2008-01-16,18,Dinamo Zagreb,Hrvatska nogometna liga,"CB, LB",82.0,61.0,66.0,fc26_filter
53,Trevan Sanusi,2007-04-25,19,FC Lorient,Ligue 1,"LW, RW, LM",82.0,61.0,86.0,fc26_filter
54,Justin-Kai von der Hitz,2006-10-22,19,1. FC Nürnberg,2. Bundesliga,"RM, RB, RW",82.0,60.0,77.0,fc26_filter
55,Boris Chi Mamuzah Lum,2007-10-02,18,Hertha BSC,2. Bundesliga,"CDM, CM",82.0,60.0,71.0,fc26_filter
56,Juan David Obando,2006-12-09,19,Atlético Nacional,Categoría Primera A,"CAM, CM",82.0,60.0,78.0,fc26_filter
57,Andrea Natali,2008-01-28,18,AZ Alkmaar,Eredivisie,CB,82.0,60.0,58.0,fc26_filter
58,Jonah Daniel Kusi-Asare,2007-07-04,19,Fulham FC,Premier League,ST,82.0,60.0,61.0,fc26_filter
59,Brad Ryan Manguelle,2007-11-27,18,KRC Genk,Pro League,CB,82.0,60.0,70.0,fc26_filter
60,Pedro André Villalba Gaona,2008-07-09,18,Libertad,División Profesional,"LM, LW, CAM",82.0,58.0,69.0,fc26_filter
61,Igor Tyjon,2008-03-20,18,Blackburn Rovers,Championship,ST,82.0,57.0,69.0,fc26_filter
62,Amlani Tatu,2008-07-01,18,Adelaide United,A-League Men,"LM, RM, LW",82.0,57.0,70.0,fc26_filter
63,Andrija Maksimović,2007-06-05,19,RB Leipzig,Bundesliga,"RW, CAM, RM",81.0,71.0,71.0,fc26_filter|nxgn_2026
64,Maxloren Sannoe Castro Rufino,2007-12-08,18,Sporting Cristal,Liga 1,"LW, LM, RW",81.0,68.0,81.0,fc26_filter
65,Honest Ahanor,2008-02-23,18,Atalanta,Serie A,"LB, LM",81.0,66.0,68.0,fc26_filter|nxgn_2026
66,Aarón Ochoa Moloney,2007-04-18,19,Málaga CF,La Liga 2,"CAM, ST, CM",81.0,65.0,66.0,fc26_filter
67,Francisco Cortés Gracia,2007-08-11,19,Cultural Leonesa,La Liga 2,"LW, LM",81.0,64.0,74.0,fc26_filter
68,Arda Ünyay,2007-01-18,19,Galatasaray SK,Süper Lig,"CB, RB",81.0,64.0,70.0,fc26_filter
69,Argyrios Liatsikouras,2006-12-20,19,Olympiacos FC,Super League,"CM, CAM",81.0,63.0,76.0,fc26_filter
70,Viggo Gebel,2007-11-22,18,RB Leipzig,Bundesliga,"CAM, LM, RM, CM",81.0,63.0,72.0,fc26_filter
71,Patrice Čović,2007-06-25,19,SV Werder Bremen,Bundesliga,"CAM, RM, CM",81.0,63.0,69.0,fc26_filter
72,Christ Wawa,2007-06-09,19,BK Häcken,Allsvenskan,"RW, RM",81.0,62.0,81.0,fc26_filter
73,Jeremiah Mensah,2008-02-21,18,Bayer 04 Leverkusen,Bundesliga,"CM, CAM",81.0,61.0,68.0,fc26_filter
74,Mario Jiménez Gambín,2007-07-01,19,Granada CF,La Liga 2,"CAM, CM",81.0,61.0,61.0,fc26_filter
75,Daniel Demenenge Daga,2007-01-10,19,Molde FK,Eliteserien,"CDM, CM",81.0,61.0,68.0,fc26_filter
76,Philipp Maybach,2007-12-14,18,FK Austria Wien,Bundesliga,"CDM, CM",81.0,61.0,64.0,fc26_filter
77,René Mitongo Muteba,2008-01-18,18,Standard de Liège,Pro League,ST,81.0,61.0,75.0,fc26_filter
78,Kacper Koscierski,2007-06-23,19,VfL Bochum 1848,2. Bundesliga,"RB, RM",81.0,61.0,69.0,fc26_filter
79,Noah Fernandez,2008-01-09,18,PSV,Eredivisie,"CAM, LW, CM",81.0,60.0,71.0,fc26_filter
80,Thiago Pitarch Pinar,2007-08-03,19,Real Madrid,La Liga,CM,81.0,60.0,65.0,fc26_filter|nxgn_2026
81,Lucas Herrington,2007-09-05,19,Brisbane Roar,A-League Men,CB,81.0,59.0,65.0,fc26_filter
82,Lawrence Wong,2007-10-06,18,Melbourne City FC,A-League Men,"CAM, ST, CM",81.0,56.0,62.0,fc26_filter
83,Ethan Mbappé Lottin,2006-12-29,19,Lille OSC,Ligue 1,"CM, RM",80.0,69.0,73.0,fc26_filter
84,Khalis Merah,2007-02-24,19,Olympique Lyonnais,Ligue 1,"CAM, CM",80.0,66.0,64.0,fc26_filter
85,Luca Oliveira Meirelles,2007-03-15,19,Shakhtar Donetsk,Premier League,"ST, LW",80.0,65.0,70.0,fc26_filter
86,Giacomo De Pieri,2006-12-29,19,SS Juve Stabia,Serie B,"RW, RM",80.0,65.0,77.0,fc26_filter
87,Bogdan Popov,2007-04-04,19,Empoli,Serie B,ST,80.0,65.0,63.0,fc26_filter
88,David Cordón Mancha,2007-10-16,18,Getafe CF,La Liga,"LB, LM",80.0,64.0,75.0,fc26_filter
89,Valentín Alejandro Pezzolesi,2007-04-16,19,UD Las Palmas,La Liga 2,"RB, RM",80.0,64.0,70.0,fc26_filter
90,Jay Robinson,2007-03-15,19,Southampton,Championship,"ST, CAM, LW",80.0,64.0,67.0,fc26_filter
91,Rafael Pinto Pedrosa,2007-09-30,19,Karlsruher SC,2. Bundesliga,"RB, RM",80.0,64.0,75.0,fc26_filter
92,Oskar Pietuszewski,2008-05-20,18,Jagiellonia Białystok,Ekstraklasa,"LM, RM, LW",80.0,64.0,79.0,fc26_filter|nxgn_2026
93,Darryl Bakola,2007-11-30,18,Olympique de Marseille,Ligue 1,"CAM, CM",80.0,63.0,64.0,fc26_filter
94,Joachim Kayi Sanda,2006-11-29,19,Red Star FC,Ligue 2,CB,80.0,63.0,63.0,fc26_filter
95,Bleon Kurtulus,2007-06-24,19,Halmstads BK,Allsvenskan,CB,80.0,63.0,64.0,fc26_filter
96,Noah Markmann,2007-02-24,19,FC Nordsjælland,Superliga,CB,80.0,63.0,66.0,fc26_filter
97,Noham Kamara,2007-01-22,19,Paris Saint-Germain,Ligue 1,CB,80.0,62.0,63.0,fc26_filter
98,Robert Ramšak,2006-10-18,19,Eintracht Braunschweig,2. Bundesliga,ST,80.0,62.0,68.0,fc26_filter
99,Sydney Ehizogie Osazuwa Omoruyi,2007-04-21,19,Real Sociedad de Fútbol B,La Liga 2,ST,80.0,62.0,71.0,fc26_filter
100,Adrián Arnuncio Baquerín,2007-03-04,19,Real Valladolid CF,La Liga 2,ST,80.0,62.0,68.0,fc26_filter
